accuracy,precision,recall,f1,roc_auc,model,setting
0.9991807403766253,0.7785714285714286,0.7364864864864865,0.7569444444444444,0.8680615209851976,Decision Tree,baseline
0.9995786664794073,0.9666666666666667,0.7837837837837838,0.8656716417910447,0.9364675141757621,Random Forest,baseline
