Dataset,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Test,0.9987477031471274,0.5990338164251208,0.8378378378378378,0.6985915492957746,0.9791963661885698
Train,0.9992626552436749,0.7082452431289641,0.9738372093023255,0.8200734394124847,0.9997730741096489
