Dataset,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Test,0.9998417248474404,0.9997069751632148,0.9999765516917954,0.9998417452567536,0.9999994745814051
Train,1.0,1.0,1.0,1.0,1.0
